species,year,decimalLongitude,decimalLatitude
Basiliscus plumifrons,2022,-83.807337,9.812075
Crocodylus acutus,2022,-83.775868,9.751946
Gonatodes albogularis,2022,-84.184965,9.949326
Sceloporus malachiticus,2015,-84.090725,9.928069
Bothriechis lateralis,2022,-83.964897,9.946613
Leptodeira rhombifera,2021,-84.38969,9.963085
Anolis cupreus,2004,-84.146152,9.920695
Ctenosaura similis,2022,-83.971811,9.752307
Sceloporus malachiticus,2022,-84.108772,9.999139
Sceloporus malachiticus,2022,-84.191776,9.981588
Trachemys scripta,2022,-84.202028,9.996406
Sceloporus malachiticus,2021,-84.168836,10.087489
Anolis lemurinus,2022,-84.138939,9.89151
Boa imperator,2022,-84.13713,10.008431
Basiliscus plumifrons,2018,-83.841999,9.784716
Iguana iguana,2022,-84.161071,9.969336
Micrurus nigrocinctus,2022,-84.137415,9.880992
Hemidactylus frenatus,2022,-84.223851,9.99451
Hemidactylus frenatus,2022,-84.092108,9.938234
Bothriechis schlegelii,2022,-84.076046,9.949752
Bothriechis lateralis,2022,-84.036724,10.037126
Micrurus nigrocinctus,2022,-83.831221,9.83645
Sceloporus malachiticus,2022,-84.149714,9.968178
Abronia monticola,2022,-84.143919,9.87574
Holcosus undulatus,2015,-84.07296,9.93861
Trachemys grayi,2021,-84.22685,9.999925
Crocodylus acutus,2015,-84.401358,9.989996
Basiliscus basiliscus,2022,-84.249908,9.982437
Ninia maculata,2022,-84.140707,9.891345
Crocodylus acutus,2022,-84.452535,9.985973
Crocodylus acutus,2022,-84.43515,9.971295
Iguana iguana,2022,-84.268244,10.019827
Ctenosaura similis,2022,-84.229608,10.020164
Micrurus nigrocinctus,2021,-83.843063,9.780007
Ctenosaura similis,2022,-84.13246,9.986978
Rhadinella godmani,2010,-84.106483,10.039917
Abronia monticola,2010,-84.104817,10.105117
Abronia monticola,2010,-84.104817,10.105117
Abronia monticola,2010,-84.103267,10.1077
Holcosus undulatus,2010,-84.235467,10.012367
Senticolis triaspis,2022,-84.041666,9.99223
Ctenosaura similis,2009,-84.287412,9.909808
Ctenosaura similis,2017,-84.287412,9.909808
Ctenosaura similis,2018,-84.287412,9.909808
Sceloporus malachiticus,2022,-84.058796,9.925531
Erythrolamprus epinephalus,2022,-84.126114,9.878267
Holcosus undulatus,2018,-84.300615,9.905302
Sceloporus malachiticus,2022,-84.178614,10.005637
Sceloporus malachiticus,2022,-84.140486,9.891847
Ctenosaura similis,2018,-84.351334,9.987392
Basiliscus basiliscus,2022,-84.148448,9.962011
Crocodylus acutus,2022,-84.435817,9.955217
Coniophanes piceivittis,2021,-84.19713,9.979682
Bothriechis lateralis,2021,-84.151611,10.079889
Basiliscus plumifrons,2018,-84.154772,9.978121
Sceloporus malachiticus,2022,-84.078722,9.980772
Ninia maculata,2022,-83.942002,9.908899
Sceloporus malachiticus,2022,-84.02964,9.906681
Sceloporus malachiticus,2022,-84.140569,9.890994
Spilotes pullatus,2021,-83.943462,9.909199
Anolis lemurinus,2020,-83.992056,9.992849
Bothriechis schlegelii,2015,-83.832656,9.772827
Anolis tropidolepis,2021,-84.042,10.0398
Bothriechis lateralis,2021,-84.215722,10.038591
Basiliscus basiliscus,2021,-84.242251,9.901432
Erythrolamprus bizona,2019,-83.992056,9.992849
Sceloporus malachiticus,2010,-83.992056,9.992849
Coniophanes fissidens,2021,-84.265907,9.92138
Polychrus gutturosus,2021,-84.261824,9.909597
Lampropeltis micropholis,2021,-83.943462,9.909199
Coniophanes fissidens,2021,-84.26627,9.914513
Spilotes pullatus,2021,-83.943462,9.909199
Iguana iguana,2021,-84.023601,9.939653
Anolis humilis,2021,-83.859238,9.7724
Chironius exoletus,2010,-83.992056,9.992849
Bothrops asper,2022,-84.260741,9.917289
Iguana iguana,2021,-84.130258,9.954757
Anolis lemurinus,2020,-84.031488,9.909728
Iguana iguana,2021,-84.195222,10.002838
Bothrops asper,2021,-84.260797,9.917827
Sceloporus malachiticus,2022,-84.078828,9.980733
Coniophanes fissidens,2022,-84.259833,9.917026
Rhinoclemmys pulcherrima,2021,-83.943462,9.909199
