species,year,decimalLongitude,decimalLatitude
Sciurus variegatoides,2020,-84.068262,9.938965
Sciurus variegatoides,2019,-84.189369,9.945592
Sciurus variegatoides,2018,-84.079437,9.982119
Sciurus variegatoides,2018,-84.22416,9.994537
Sciurus variegatoides,2017,-84.078966,9.980311
Sciurus variegatoides,2018,-84.078656,9.981699
Sciurus variegatoides,2017,-84.07332,9.939282
Sciurus variegatoides,2015,-84.079074,9.981409
Sciurus variegatoides,2016,-84.079006,9.980949
Nasua narica,2008,-84.090528,9.94006
Sciurus variegatoides,2011,-84.071082,9.934592
Sciurus variegatoides,2011,-84.096308,9.98077
Sciurus variegatoides,2022,-84.250028,9.984642
Sciurus variegatoides,2022,-84.050864,9.937205
Sciurus variegatoides,2022,-84.050864,9.937205
Odocoileus virginianus,2018,-83.80163,9.74949
Felis catus,2022,-84.090725,9.928069
Procyon lotor,2022,-84.109848,10.000256
Sphiggurus mexicanus,2021,-84.100286,9.983001
Sciurus variegatoides,2022,-84.126062,9.910881
Artibeus lituratus,2022,-84.184965,9.949326
Sciurus variegatoides,2022,-84.24171,9.995259
Canis latrans,2020,-84.095324,10.07898
Sciurus variegatoides,2013,-84.079814,9.982028
Didelphis marsupialis,2020,-84.096064,9.920382
Didelphis marsupialis,2022,-84.178614,10.006288
Urocyon cinereoargenteus,2022,-84.003586,9.908505
Sciurus variegatoides,2022,-84.072676,9.939636
Sciurus variegatoides,2022,-84.186982,10.033665
Procyon lotor,2022,-84.107652,10.071258
Artibeus lituratus,2021,-84.184965,9.949326
Sciurus variegatoides,2022,-84.249893,9.98398
Sciurus variegatoides,2021,-83.930387,9.857545
Sciurus variegatoides,2021,-84.051102,9.930151
Sphiggurus mexicanus,2021,-84.187675,9.973638
Sciurus variegatoides,2022,-84.115926,9.941263
Sciurus variegatoides,2021,-84.21347,10.016422
Sciurus variegatoides,2022,-84.052404,9.934288
Sphiggurus mexicanus,2022,-83.943463,9.909196
Sciurus variegatoides,2021,-84.078972,9.980944
Sciurus variegatoides,2020,-83.992056,9.992849
Sciurus variegatoides,2021,-84.049558,9.937401
Alouatta palliata,2021,-83.811296,9.757217
Melanomys caliginosus,2021,-83.771733,9.82806
Dasypus novemcinctus,2021,-84.159653,9.974292
Cebus imitator,2021,-84.262632,9.910407
Didelphis marsupialis,2019,-83.992056,9.992849
Choloepus hoffmanni,2020,-83.992056,9.992849
Didelphis marsupialis,2021,-83.852089,9.799813
Nasua narica,2021,-84.443372,9.977006
Felis catus,2021,-84.035469,10.025678
Mazama temama,2018,-84.227038,10.076558
Sciurus variegatoides,2021,-84.237521,9.935412
Sciurus variegatoides,2021,-84.199107,10.058281
Tapirella bairdii,2021,-84.16086,10.009955
Sciurus variegatoides,2019,-84.07885,9.980484
Sciurus variegatoides,2021,-84.100761,9.936041
Cebus capucinus,2010,-84.28376,9.916182
Dasyprocta punctata,2021,-84.344688,9.989667
Sciurus variegatoides,2016,-84.129098,10.019248
Procyon lotor,2021,-84.109493,9.998971
Artibeus jamaicensis,2021,-84.345511,9.989908
Bassariscus sumichrasti,2019,-84.14922,9.864068
Sciurus variegatoides,2011,-84.206187,9.994145
Pteronotus mesoamericanus,2021,-84.345503,9.989862
Micronycteris hirsuta,2021,-84.345661,9.989769
Sturnira parvidens,2021,-84.345699,9.989897
Sciurus variegatoides,2018,-84.070059,9.934667
Platyrrhinus helleri,2021,-84.345502,9.989846
Sciurus variegatoides,2011,-84.206187,9.994145
Didelphis marsupialis,2020,-84.10218,9.92405
Sciurus variegatoides,2011,-84.206187,9.994145
Sciurus variegatoides,2011,-84.206187,9.994145
Sciurus variegatoides,2011,-84.206187,9.994145
Peromyscus mexicanus,2001,-83.800003,9.92
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus nudipes,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Heteromys desmarestianus,2001,-83.970001,9.9
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Heteromys desmarestianus,2001,-83.970001,9.9
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Oryzomys alfaroi,2001,-83.970001,9.9
Scotinomys teguina,2001,-83.970001,9.9
Reithrodontomys creper,2001,-83.830002,9.98
Scotinomys teguina,2001,-83.970001,9.9
Cryptotis gracilis,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.9
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Peromyscus mexicanus,2001,-83.800003,9.92
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus nudipes,2001,-83.830002,9.98
