species,year,decimalLongitude,decimalLatitude
Inga inicuil,2000,-83.98,10.06
Inga nobilis,2000,-83.98,10.06
Impatiens walleriana,2000,-83.78,9.75
Ilex lamprophylla,2000,-83.98,10.06
Ilex pallida,2000,-84.11,10.12
Mesosphaerum pectinatum,2002,-84.24,9.9
Hymenophyllum sieberi,2004,-84.13,9.87
Hymenophyllum pulchellum,2004,-83.9,9.76
Hymenophyllum hemidimorphum,2004,-84.14,9.89
Hydrocotyle mexicana,2000,-83.78,9.75
Hoffmannia psychotriifolia,2004,-84.13,9.87
Phlegmariurus cuneifolius,2005,-84.15,9.88
Phlegmariurus eversus,2000,-84.1,10.13
Hoffmannia congesta,2000,-84.0,10.03
Heliconia tortuosa,2003,-83.96,9.87
Heliconia clinophila,2000,-83.98,10.06
Stenostephanus silvaticus,2000,-83.98,10.06
Gurania makoyana,2000,-83.78,9.77
Grammitis marginella,2004,-83.9,9.76
Greigia sylvicola,2000,-83.78,9.77
Gongora unicolor,2004,-83.92,9.86
Gaultheria gracilis,2000,-84.11,10.12
Euphorbia hoffmanniana,2004,-83.97,9.86
Eugenia cartagensis,2004,-83.97,9.86
Eugenia cartagensis,2003,-83.97,9.86
Erythrina abyssinica,2003,-84.05,9.96
Erythrina globocalyx,2002,-83.98,10.06
Equisetum bogotense,2004,-84.14,9.87
Equisetum bogotense,2000,-83.78,9.75
Epidendrum incomptum,2003,-83.97,9.87
Epidendrum trialatum,2003,-83.97,9.86
Epidendrum rigidiflorum,2002,-83.8,9.78
Epidendrum miserrimum,2002,-83.8,9.78
Epidendrum magnibracteatum,2003,-83.98,9.87
Epidendrum parkinsonianum,2005,-83.83,9.89
Epidendrum firmum,2004,-83.88,9.81
Epidendrum oxyglossum,2004,-83.88,9.81
Epiphyllum thomasianum,2000,-84.05,9.93
Encyclia ceratistes,2003,-83.97,9.86
Parrisia parietina,2004,-83.9,9.76
Elaphoglossum succubus,2004,-84.13,9.87
Elaphoglossum cuspidatum,2004,-84.13,9.87
Elaphoglossum sartorii,2005,-84.15,9.88
Elaphoglossum piloselloides,2004,-84.14,9.88
Elaphoglossum peltatum,2004,-83.9,9.76
Elaphoglossum peltatum,2004,-83.9,9.76
Elaphoglossum peltatum,2004,-83.9,9.76
Elaphoglossum paleaceum,2004,-84.13,9.87
Elaphoglossum glabellum,2004,-84.13,9.87
Elaphoglossum lingua,2005,-84.15,9.88
Elaphoglossum hammelianum,2004,-84.14,9.89
Elaphoglossum glabellum,2004,-84.14,9.89
Elaphoglossum paleaceum,2004,-84.14,9.89
Elaphoglossum coriifolium,2004,-84.13,9.87
Elaphoglossum decursivum,2004,-84.13,9.87
Elaphoglossum burchellii,2004,-84.13,9.87
Elaphoglossum ciliatum,2004,-84.13,9.87
Elaphoglossum erinaceum,2004,-84.14,9.87
Elaphoglossum bellermannianum,2004,-84.13,9.87
Elaphoglossum angustioblongum,2005,-84.15,9.88
Elaphoglossum bellermannianum,2005,-84.15,9.88
Elaphoglossum cismense,2004,-84.14,9.89
Elaphoglossum eximium,2004,-84.14,9.89
Dryopteris flaccisquama,2005,-84.15,9.87
Dryopteris flaccisquama,2004,-84.14,9.89
Dryopteris wallichiana,2000,-84.11,10.12
Drymonia rubra,2000,-84.0,10.03
Drymaria cordata,2002,-84.24,9.9
Diplazium werckleanum,2004,-84.13,9.87
Diplazium lonchophyllum,2004,-84.14,9.89
Diplazium multigemmatum,2004,-83.9,9.76
Diplazium subsilvaticum,2000,-84.0,10.03
Diplopterygium bancroftii,2000,-83.78,9.75
Diplazium hians,2004,-84.13,9.87
Diplazium hians,2004,-84.14,9.89
Dioscorea standleyi,2000,-83.98,10.06
Dioscorea bulbifera,2002,-84.03,9.91
Dicksonia sellowiana,2004,-84.14,9.89
Dichaea hystricina,2003,-83.96,9.87
Desmopsis bibracteata,2000,-84.28,9.9
Dennstaedtia distenta,2004,-84.13,9.87
Dennstaedtia globulifera,2004,-84.13,9.87
Dendropanax capillaris,2000,-84.01,10.06
Decachaeta thieleana,2002,-84.16,9.93
Cystopteris fragilis,2004,-84.13,9.87
Cyperus tabina,2000,-83.78,9.75
Ctenitis subdryopteris,2004,-84.13,9.87
Ctenitis hemsleyana,2005,-84.15,9.87
Cucurbita pepo,2000,-83.78,9.75
Gyminda tonduzii,2003,-83.97,9.86
Croton niveus,2000,-83.98,10.06
Coussapoa parviceps,2000,-83.98,10.06
Coussapoa parviceps,2000,-83.98,10.06
Coussarea caroliana,2000,-84.0,10.03
Miconia cooperi,2000,-84.01,10.06
Miconia rhodopetala,2000,-83.98,10.06
Miconia cooperi,2002,-83.95,9.78
Columnea querceti,2000,-83.98,10.06
Columnea anisophylla,2000,-84.01,10.06
Cojoba costaricensis,2000,-83.98,10.06
Columnea glabra,2004,-84.14,9.88
Cobaea gracilis,2000,-83.78,9.75
Miconia octona,2000,-83.78,9.77
Clematis acapulcensis,2004,-83.97,9.86
Citharexylum caudatum,2000,-83.98,10.06
Citharexylum caudatum,2000,-83.98,10.06
Chusquea tonduzii,2000,-84.11,10.12
Chiococca alba,2000,-83.98,10.06
Chrysochlamys allenii,2000,-83.98,10.06
Gaga harrisii,2005,-84.15,9.87
Gaga harrisii,2004,-84.14,9.88
Chamaedorea pinnatifrons,2000,-83.98,10.06
Chamaedorea undulatifolia,2000,-83.8,9.82
Cestrum scandens,2000,-84.0,10.03
Centropogon ferrugineus,2000,-84.11,10.12
Cavendishia endresii,2000,-83.98,10.06
Gyrandra brachycalyx,2004,-84.14,9.88
Gyrandra brachycalyx,2004,-84.14,9.88
Catopsis nitida,2004,-83.96,9.87
Catopsis paniculata,2004,-83.96,9.87
Catopsis paniculata,2003,-83.96,9.87
Cavendishia bracteata,2001,-84.1,10.11
Cavendishia bracteata,2000,-84.0,10.03
Catopsis paniculata,2004,-84.13,9.87
Campyloneurum sphenodes,2004,-84.14,9.87
Campyloneurum amphostenon,2004,-84.14,9.87
Campyloneurum amphostenon,2004,-84.14,9.89
Campylocentrum micranthum,2003,-83.97,9.86
Campyloneurum falcoideum,2004,-84.14,9.89
Calathea spiralis,2000,-83.78,9.77
Burmeistera vulgaris,2000,-83.98,10.06
Burmeistera vulgaris,2000,-83.98,10.06
Brunellia standleyana,2000,-83.98,10.06
Buddleja americana,2001,-84.05,9.93
Brassia gireoudiana,2004,-84.24,10.07
Sceptridium underwoodianum,2004,-84.14,9.88
